"Timestamp","What country are you working in","What institute/company do you work at","Which of the following roles apply to you?","Which of the following disciplines best applies to your work?","How many years have you worked in research?","If you develop software, who uses it?","If you develop software, is it open source?","Has your code contributed to publication(s)?","If your code has contributed to publication(s), were you acknowledged?","Have you trained researchers?","Which languages do you use?","Which OS do you use at work?","What type of contract do you have?","What is your age?","What is your gender?"
"2018/05/09 9:19:59 am EET","Norway","University of Oslo","I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","More than 20 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","No","Yes","C/C++;Fortran;Python;Unix shell scripts;R;Julia;SQL, scala","Linux;Windows","Permanent","45 - 54","Female"
"2018/05/09 9:23:06 am EET","Norway","University of Oslo","I conduct research","Engineering & technology","1-5 years","Me;My collaborators/colleagues;Other people","All my code is open source","Yes","Yes","Yes","C/C++;Unix shell scripts;Matlab","Linux;Windows","Fixed-term","25 - 34","Male"
"2018/05/09 9:43:29 am EET","Norway","University of Oslo","I conduct research","Biological, mathematical & physical sciences","1-5 years","Me;My collaborators/colleagues","None of my code is open source","Yes","No","No","Python;Matlab","Windows","Fixed-term","25 - 34","Male"
"2018/05/09 9:43:44 am EET","Norway","University of Oslo","I conduct research","Biological, mathematical & physical sciences","1-5 years","Me","All my code is open source","Yes","Yes","No","Fortran;Python;Unix shell scripts","Linux","Fixed-term","25 - 34","Male"
"2018/05/09 9:44:21 am EET","Norway","University of Oslo","I conduct research","Biological, mathematical & physical sciences","6-10 years","Me","All my code is open source","Yes","Yes","No","Matlab","Linux;macOS","postdoc","25 - 34","Male"
"2018/05/09 9:59:11 am EET","Norway","NTNU","I conduct research;I develop software for researchers","Biological, mathematical & physical sciences;Engineering & technology","1-5 years","Me;My collaborators/colleagues","Majority of my code is open source","No","","No","Python;Matlab","Linux;Windows","Fixed-term","25 - 34","Male"
"2018/05/09 10:16:47 am EET","Norway","UiT - The Arctic University of Norway","I conduct research;I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","1-5 years","Me;My collaborators/colleagues","All my code is open source","Yes","Yes","No","C/C++","Linux","Fixed-term","25 - 34","Male"
"2018/05/09 10:19:39 am EET","Norway","University of Tromsø","I conduct research;I support researchers;I develop software for researchers","Biological, mathematical & physical sciences;Medicine, dentistry & health","1-5 years","Me;My collaborators/colleagues","Majority of my code is open source","Yes","Yes","Yes","Python;Unix shell scripts;JavaScript;SQL;PHP","Linux;Windows","Fixed-term","25 - 34","Male"
"2018/05/09 10:21:29 am EET","Norway","UiT The Arctic University of Norway","I conduct research;I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","6-10 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Yes","Yes","C/C++;Fortran;Python;Unix shell scripts;JavaScript","Linux","Permanent","35 - 44","Male"
"2018/05/09 10:22:36 am EET","Norway","University of Oslo","I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","16-20 years","Other people","All my code is open source","Yes","Yes","Yes","C/C++;Python;Unix shell scripts;JavaScript;Java;SQL","Linux;macOS","Permanent","35 - 44","Male"
"2018/05/09 10:37:30 am EET","Norway","UiT The Arctic University of Norway","I conduct research;I manage researchers or research projects;I develop software for researchers","Biological, mathematical & physical sciences","6-10 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Yes","Yes","Fortran;Python;Unix shell scripts","Linux","Fixed-term","35 - 44","Male"
"2018/05/09 10:40:50 am EET","Norway","University of Tromsø","I support researchers","Engineering & technology","6-10 years","Me;My collaborators/colleagues","Majority of my code is open source","Yes","Yes","Yes","Go","macOS","Fixed-term","35 - 44","Male"
"2018/05/09 10:41:55 am EET","Norway","Norwegian University of Science and Technology","I support researchers;I manage researchers or research projects;I develop software for researchers","Biological, mathematical & physical sciences;Engineering & technology;environmental studies","1-5 years","Me;My collaborators/colleagues","Minority of my code is open source","Yes","Yes","Yes","C/C++;Python;Unix shell scripts;JavaScript;Matlab;SQL","Linux","Permanent","35 - 44","Male"
"2018/05/09 11:12:23 am EET","Norway","Simula Research Laboratory","I support researchers;I develop software for researchers","Engineering & technology;Education","11-15 years","Me;My collaborators/colleagues;Other people","All my code is open source","Yes","Yes","Yes","Python;Unix shell scripts;JavaScript;SQL","Linux;macOS","Fixed-term","25 - 34","Male"
"2018/05/09 11:18:14 am EET","Norway","","I conduct research;I support researchers","Biological, mathematical & physical sciences","1-5 years","Me;My collaborators/colleagues;Other people","All my code is open source","Maybe","Maybe","Yes","Python;R","macOS","Permanent","25 - 34","Male"
"2018/05/09 12:43:51 pm EET","Norway","The Norwegian Meteorological Institute","I conduct research;I support researchers;I manage researchers or research projects;I develop software for researchers","Biological, mathematical & physical sciences","More than 20 years","Me;My collaborators/colleagues;Other people","All my code is open source","Yes","Maybe","Yes","R","Linux","Permanent","45 - 54","Male"
"2018/05/09 1:54:32 pm EET","Norway","Simula Research Laboratory","I develop software for researchers","","1-5 years","My collaborators/colleagues;Other people","All my code is open source","Yes","","Yes","Python;JavaScript","Windows","Fixed-term","25 - 34","Male"
"2018/05/09 3:31:53 pm EET","Norway","NTNU","I conduct research;I manage researchers or research projects","Earth and environment","11-15 years","Me;My collaborators/colleagues","Majority of my code is open source","Yes","Maybe","Yes","C/C++;Fortran;Python;Unix shell scripts;JavaScript","Linux;Windows","Permanent","35 - 44","Female"
"2018/05/09 4:26:24 pm EET","Sweden","National Bioinformatics Infrastructure Sweden / Uppsala University","I support researchers","Biological, mathematical & physical sciences","11-15 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Yes","Yes","C/C++;Unix shell scripts;Java;R;Perl, Groovy/Nextflow","Linux;macOS","Permanent","35 - 44","Male"
"2018/05/09 5:15:17 pm EET","Sweden","KTH","I conduct research","Biological, mathematical & physical sciences","6-10 years","Me;My collaborators/colleagues","All my code is open source","Yes","Yes","Yes","Python;Unix shell scripts;Matlab;Julia","Linux;macOS","Fixed-term","25 - 34","Male"
"2018/05/09 6:39:09 pm EET","Norway","University of Oslo","I conduct research;I develop software for researchers","Biological, mathematical & physical sciences;Engineering & technology;Humanities & language based studies & archaeology;Education;Design, creative & performing arts","16-20 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Yes","Yes","Matlab;Swift","macOS","Fixed-term","35 - 44","Male"
"2018/05/09 6:48:33 pm EET","Norway","University of Oslo","I conduct research","Biological, mathematical & physical sciences","6-10 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Maybe","Yes","C/C++;Python;Unix shell scripts;R","Linux;macOS","Fixed-term","35 - 44","Female"
"2018/05/09 7:34:19 pm EET","Norway","","I conduct research","Engineering & technology;Humanities & language based studies & archaeology","1-5 years","My collaborators/colleagues","All my code is open source","Yes","","No","Python;Matlab","Linux;Windows;macOS","Fixed-term","25 - 34","Female"
"2018/05/09 8:12:09 pm EET","Norway","Radiumhospitalet","I conduct research;I develop software for researchers","Biological, mathematical & physical sciences;Medicine, dentistry & health","6-10 years","Me;My collaborators/colleagues","None of my code is open source","Yes","Maybe","Yes","Python;Unix shell scripts;R","Linux","Fixed-term","25 - 34","Male"
"2018/05/09 8:32:17 pm EET","Norway","University of Oslo","I conduct research;I manage researchers or research projects;I develop software for researchers","Biological, mathematical & physical sciences;Engineering & technology","11-15 years","Me;My collaborators/colleagues","Majority of my code is open source","Yes","Yes","Yes","Fortran;Python;Matlab","Linux;Windows","Permanent","35 - 44","Male"
"2018/05/09 8:47:17 pm EET","Norway","NINA","I conduct research;I support researchers;I manage researchers or research projects;I develop software for researchers","Earth and environment","11-15 years","Me;Other people","All my code is open source","Yes","Maybe","Yes","Python;Unix shell scripts;SQL;R","Linux;Windows","Permanent","35 - 44","Male"
"2018/05/09 9:17:26 pm EET","Norway","University of Oslo","I conduct research;I develop software for researchers","Biological, mathematical & physical sciences","Less than a year","Me;My collaborators/colleagues","All my code is open source","Yes","Yes","No","C/C++;Python;Unix shell scripts;SQL;R;Julia","Linux;Windows","Fixed-term","25 - 34","Male"
"2018/05/09 10:43:39 pm EET","Denmark","University of Copenhagen","I support researchers;I develop software for researchers","Biological, mathematical & physical sciences","11-15 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Maybe","Yes","C/C++;Python;Unix shell scripts;Java;SQL","Linux;Windows;macOS","Permanent","35 - 44","Male"
"2018/05/09 11:45:55 pm EET","Norway","University of Oslo","I conduct research;I manage researchers or research projects;I develop software for researchers;I teach","Engineering & technology;Humanities & language based studies & archaeology;Design, creative & performing arts","11-15 years","Me;My collaborators/colleagues;Other people","All my code is open source","Yes","Yes","Yes","Python;Matlab;Max, PureData, Supercollider","Linux;macOS","Permanent","35 - 44","Male"
"2018/05/10 7:06:46 am EET","Norway","University of Oslo ","I conduct research","Biological, mathematical & physical sciences;Earth and environment","11-15 years","Me;My collaborators/colleagues","All my code is open source","Yes","Yes","Yes","Python;Unix shell scripts;JavaScript;Matlab","Linux;Windows","Fixed-term","35 - 44","Male"
"2018/05/10 12:19:29 pm EET","Sweden","","I conduct research;I develop software for researchers","Engineering & technology;Medicine, dentistry & health;Social studies","6-10 years","My collaborators/colleagues","None of my code is open source","Yes","No","Yes","JavaScript;SQL;C#","Windows;macOS","Fixed-term","35 - 44","Male"
"2018/05/10 5:32:10 pm EET","Norway","University of Oslo","I support researchers;I develop software for researchers","Biological, mathematical & physical sciences;Engineering & technology;Earth and environment","6-10 years","My collaborators/colleagues","All my code is open source","Yes","Yes","Yes","C/C++;Fortran;Python;Unix shell scripts;R","Linux","Fixed-term","35 - 44","Female"
"2018/05/10 11:51:30 pm EET","Norway","UiO","I conduct research","Biological, mathematical & physical sciences","16-20 years","Me;My collaborators/colleagues","Minority of my code is open source","Yes","Maybe","Yes","Python;Matlab","Windows;macOS","Fixed-term","45 - 54","Female"
"2018/05/11 9:18:27 am EET","Norway","","I conduct research;I support researchers;I develop software for researchers","Earth and environment","More than 20 years","Me;My collaborators/colleagues;Other people","All my code is open source","Yes","No","Yes","C/C++;Fortran;Python;Unix shell scripts","Linux","Permanent","35 - 44","Male"
"2018/05/11 10:13:32 am EET","Finland","Aalto University","I conduct research;I support researchers","Biological, mathematical & physical sciences","11-15 years","Me;My collaborators/colleagues","Majority of my code is open source","Yes","Yes","Yes","C/C++;Python;Unix shell scripts;SQL","Linux","Permanent","25 - 34","Male"
"2018/05/11 10:41:39 am EET","Norway","University of Oslo","I support researchers;I develop software for researchers","Biological, mathematical & physical sciences;Engineering & technology;Medicine, dentistry & health","16-20 years","My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Maybe","No","C/C++;Python;JavaScript;Matlab;Java","Windows;macOS","Fixed-term","35 - 44","Male"
"2018/05/11 11:34:28 am EET","Norway","Simula Research Laboratory","I conduct research;I manage researchers or research projects","Engineering & technology","More than 20 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Yes","Yes","Python;Unix shell scripts;R;Ruby, perl, ","Linux;macOS","Permanent","45 - 54","Male"
"2018/05/11 1:50:40 pm EET","Norway","NTNU, the Norwegian University of Science and Technology","I conduct research;I support researchers;I manage researchers or research projects;I develop software for researchers","Earth and environment","11-15 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","Yes","Yes","Yes","Python;Unix shell scripts;Matlab","Linux;Windows","Permanent","35 - 44","Male"
"2018/05/11 3:31:05 pm EET","Finland","Aalto University","I conduct research;I develop software for researchers","Computer Science","11-15 years","My collaborators/colleagues","Current position: none, Previous work most of it.","Yes","Maybe","Yes","C/C++;Python;Matlab;Standard ML","Linux","Fixed-term","35 - 44","Male"
"2018/05/11 4:59:40 pm EET","Finland","Aalto University","I conduct research","Biological, mathematical & physical sciences","More than 20 years","Me;My collaborators/colleagues;Other people","All my code is open source","Yes","Yes","Yes","C/C++;Python;Unix shell scripts;Matlab;R;Stan","Linux","Fixed-term","45 - 54","Male"
"2018/05/11 5:01:32 pm EET","Sweden","Uppsala University","I conduct research;I manage researchers or research projects;I develop software for researchers","Biological, mathematical & physical sciences","More than 20 years","Me;My collaborators/colleagues;Other people","All my code is open source","Yes","Yes","Yes","Fortran;Unix shell scripts","Linux","Permanent","55 - 64","Male"
"2018/05/11 10:14:39 pm EET","Sweden","KTH Royal Institute of Technology","I conduct research","Biological, mathematical & physical sciences;Engineering & technology","6-10 years","Me","All my code is open source","Yes","Yes","No","Fortran;Python","Linux","Fixed-term","25 - 34","Male"
"2018/05/12 6:19:20 pm EET","Sweden","KTH Stockholm, SciLifeLab","I develop software for researchers","Biological, mathematical & physical sciences","1-5 years","My collaborators/colleagues;Other people","All my code is open source","Yes","Yes","No","C/C++;Fortran","Linux","Fixed-term","25 - 34","Male"
"2018/05/13 5:16:42 pm EET","Iceland","University of Iceland ","I conduct research","Engineering & technology","More than 20 years","Me","None of my code is open source","No","","Yes","Java","Windows","Permanent","55 - 64","Female"
"2018/05/14 7:42:42 am EET","Sweden","KTH Royal Institute of Technology","I conduct research;I support researchers;I develop software for researchers","Biological, mathematical & physical sciences;Engineering & technology","6-10 years","Me;My collaborators/colleagues;Other people","Minority of my code is open source","Yes","Yes","No","C/C++;Python;Unix shell scripts;JavaScript","Linux;macOS","Fixed-term","25 - 34","Male"
"2018/05/14 8:14:20 am EET","Finland","Aalto University","I conduct research","Engineering & technology","1-5 years","Me;My collaborators/colleagues;Other people","Majority of my code is open source","No","","No","C/C++;Python;Unix shell scripts","Linux","Fixed-term","25 - 34","Female"
"2018/05/14 8:23:18 am EET","Sweden","Uppsala University","I conduct research;I support researchers","Biological, mathematical & physical sciences;Medicine, dentistry & health","11-15 years","Me;My collaborators/colleagues","All my code is open source","Yes","Yes","Yes","C/C++;Python;Unix shell scripts;R","Linux","Permanent","35 - 44","Female"
"2018/05/14 8:27:33 am EET","Sweden","Gothenburg University","I support researchers","Biological, mathematical & physical sciences","11-15 years","Me;My collaborators/colleagues","All my code is open source","Yes","Yes","Yes","Matlab;R","Linux;Windows;macOS","Permanent","35 - 44","Male"
"2018/05/14 9:53:42 am EET","Sweden","","I support researchers;I develop software for researchers","Medicine, dentistry & health","16-20 years","Other people","All my code is open source","Yes","Maybe","Yes","C/C++;Python;JavaScript;Java;SQL;R","Linux;Windows","Permanent","45 - 54","Male"
"2018/05/14 11:11:16 am EET","Norway","University of Oslo","I conduct research","Engineering & technology;Design, creative & performing arts","1-5 years","Me;My collaborators/colleagues","Majority of my code is open source","Yes","Yes","Yes","Python;R;Swift (iOS stack)","Linux;macOS","Fixed-term","25 - 34","Male"
